,date,num_human,num_human_0,num_human_1,num_bot,num_bot_0,num_bot_1,num_human_tweets,num_human_0_tweets,num_human_1_tweets,num_bot_tweets,num_bot_0_tweets,num_bot_1_tweets,mean_opinion_equilibrium_nobot,mean_opinion_equilibrium_bot,reach_bot_0,reach_bot_1
0,2019-12-20,522581,303062,219519,605,515,90,1446226,639640,806586,19895,15214,4681,0.4617002914297386,0.45675505476761474,50603,65350
1,2019-12-21,368988,194496,174492,603,511,92,1161857,525199,636658,23157,18143,5014,0.4459886738379747,0.4482359229588145,49728,58668
2,2019-12-22,355066,224977,130089,611,519,92,979106,544608,434498,21994,18246,3748,0.381625030079493,0.3747929047169268,47136,53319
3,2019-12-23,296793,164983,131810,611,520,91,984772,462700,522072,21514,16992,4522,0.4678112583259803,0.4612582497561157,47531,55859
4,2019-12-24,235604,115043,120561,603,517,86,796009,340100,455909,18384,14914,3470,0.5194858565318182,0.521893522018999,40967,47470
5,2019-12-25,146180,83558,62622,588,503,85,343905,186287,157618,9957,8417,1540,0.3961761965521444,0.40426312361161704,28173,30153
6,2019-12-26,186908,98465,88443,601,515,86,567776,275791,291985,15582,13150,2432,0.5177524552102079,0.5014730142250808,36478,40229
7,2019-12-27,185556,98019,87537,610,519,91,549601,257570,292031,13231,10820,2411,0.5314318859696221,0.5146001018576359,36903,40362
8,2019-12-28,183491,79541,103950,606,514,92,562254,191067,371187,11896,8344,3552,0.5217872447627049,0.5497272604336249,32251,49510
9,2019-12-29,177580,78939,98641,603,513,90,467620,189222,278398,10905,8336,2569,0.5286574116488133,0.5320736101115318,32641,44258
10,2019-12-30,157883,84123,73760,616,530,86,396766,214294,182472,11837,10143,1694,0.444181386857659,0.4395671877819227,34967,35276
11,2019-12-31,168670,88334,80336,605,519,86,438414,230222,208192,12232,10557,1675,0.44982070093606374,0.44600187797743585,34777,38678
12,2020-01-01,139225,77526,61699,642,544,98,332820,188034,144786,18572,15578,2994,0.39561592296441406,0.4032553778221987,31289,32053
13,2020-01-02,154995,84247,70748,621,528,93,398913,210669,188244,11668,9930,1738,0.5150954087207932,0.4885214790919234,33156,36829
14,2020-01-03,334820,238831,95989,626,534,92,709140,472788,236352,14680,12616,2064,0.3716856129155105,0.35031400246611927,45847,40219
15,2020-01-04,229708,145839,83869,613,521,92,472593,284070,188523,10743,9200,1543,0.3896094116662854,0.38083580213545026,38026,39276
16,2020-01-05,226419,132724,93695,609,520,89,522302,316118,206184,12024,10681,1343,0.3606137667514657,0.3567966106566078,41767,39718
17,2020-01-06,239169,134709,104460,620,529,91,676034,368721,307313,15577,13353,2224,0.4291208857030094,0.40911812607721093,43996,44926
18,2020-01-07,226619,122467,104152,619,523,96,676530,351757,324773,15791,13545,2246,0.48849611023661416,0.4686723315673548,43037,48133
