index,date,num_human,num_human_0,num_human_1,num_bot,num_bot_0,num_bot_1,num_human_tweets,num_human_0_tweets,num_human_1_tweets,num_bot_tweets,num_bot_0_tweets,num_bot_1_tweets,mean_opinion_equilibrium_nobot,mean_opinion_equilibrium_bot,std_opinion_equilibrium_nobot,std_opinion_equilibrium_bot,reach_bot,reach_bot_0,reach_bot_1
0,2019-12-20,503903,295379,208524,19283,8198,11085,1087708,530176,557532,378413,124678,253735,0.5428511750391998,0.449531675524553,0.28691512505480876,0.34955908489588167,214257,118180,128641
1,2019-12-21,57928,30841,27087,3357,1464,1893,138616,66298,72318,62437,25470,36967,0.33283911934770655,0.39052792981306156,0.3411898480784644,0.4203339647793259,25213,11604,14083
2,2019-12-22,336854,217305,119549,18823,8191,10632,714083,425533,288550,287017,137321,149696,0.421220189773081,0.36855675193233495,0.3138416546548287,0.3762829194768308,174999,102455,96409
3,2019-12-23,278239,157262,120977,19165,8241,10924,687508,347688,339820,318778,132004,186774,0.5101635987047864,0.46454874895196147,0.293502564103487,0.3852935958687746,179874,102450,105568
4,2019-12-24,217367,107533,109834,18840,8027,10813,545189,246658,298531,269204,108356,160848,0.5278820439943841,0.5283938760876417,0.30577156385565396,0.40185097921865226,156217,82713,92591
5,2019-12-25,130774,76923,53851,15994,7138,8856,241007,137403,103604,112855,57301,55554,0.39892546114776434,0.3961192798344494,0.3655641931113927,0.4193451560124794,93142,61528,54900
6,2019-12-26,169332,91205,78127,18177,7775,10402,388164,199178,188986,195194,89763,105431,0.5570651123770696,0.49069697939792034,0.3175990003626245,0.40587102883838766,128388,73759,68546
7,2019-12-27,167684,90636,77048,18482,7902,10580,372806,189894,182912,190026,78496,111530,0.5703796742264889,0.49715389695131523,0.31538985054212576,0.4060074199652916,129721,77261,73359
8,2019-12-28,165916,72550,93366,18181,7505,10676,384014,142048,241966,190136,57363,132773,0.5276264286703772,0.5722724318689059,0.3144648970425215,0.40467279281200524,132585,63559,83735
9,2019-12-29,160205,71892,88313,17978,7560,10418,327166,138752,188414,151359,58806,92553,0.48286089285825556,0.5503493737720127,0.3019128816786841,0.40880928415475204,127524,69995,76636
10,2019-12-30,140636,76789,63847,17863,7864,9999,272109,152667,119442,136494,71770,64724,0.43977983231345474,0.44959417549126474,0.3266692103401459,0.41465926164438155,115000,74580,61966
11,2019-12-31,151057,80977,70080,18218,7876,10342,301593,165841,135752,149053,74938,74115,0.48207048387396795,0.4711857059352144,0.31235419255238217,0.4064128833564483,119338,80284,67580
12,2020-01-01,122287,70365,51922,17580,7705,9875,231363,138090,93273,120029,65522,54507,0.4108166398098561,0.40312278397197254,0.3520050617597948,0.4176887904849602,99899,62886,50541
13,2020-01-02,137505,76953,60552,18111,7822,10289,269887,151715,118172,140694,68884,71810,0.5202824067239836,0.4545808034758444,0.3058307858649266,0.401655363344104,111681,62084,61203
14,2020-01-03,37531,24825,12706,3742,1642,2100,80527,54361,26166,34955,18864,16091,0.5088182516163688,0.39666307232750164,0.3050984628415838,0.3807515825159115,25080,12990,12578
